OBJECTID,NAME,ADDRESS,ZIPCODE,ADDRESS_ID
1,Adams Bank,"802 7th Street, NW ",20001,243178
2,Adams Bank,"50 Massachusetts, Avenue, SE",20002,293243
3,Adams Bank,"1501 K Street, NW",20006,279201
4,Adams Bank,"1729 Wisconsin Ave, NW",20007,275259
5,Adams Bank,"1604 17th Street, NW",20009,241674
6,Adams Bank,"1130 Connecticut Ave, NW",20036,241787
7,Amalgamated Bank,"1825 K Street, NW",20006,240969
8,American Bank,5600 Connecticut Avenue NW,20015,263862
9,"Bank of America, NA","635 Massachusetts Avenue, NW",20001,279868
10,"Bank of America, NA","722 H Street, NE",20002,149093
11,"Bank of America, NA","201 Pennsylvania Avenue, SE",20003,52920
12,"Bank of America, NA","1001 Pennsylvania Avenue, NW",20004,239376
13,"Bank of America, NA","1501 Pennsylvania Avenue, NW",20005,279202
14,"Bank of America, NA","1090 Vermont Avenue, NW",20005,240259
15,"Bank of America, NA","700 13th Street, NW",20005,240654
16,"Bank of America, NA","888 17th Street, NW",20006,218778
17,"Bank of America, NA","1801 K Street, NW",20006,279398
18,"Bank of America, NA","2001 Pennsylvania Avenue, NW",20006,243321
19,"Bank of America, NA","1339 Wisconsin Avenue, NW",20007,223694
20,"Bank of America, NA","3401 Connecticut Avenue, NW",20008,275650
21,"Bank of America, NA","2631 Connecticut Avenue, NW",20008,284444
22,"Bank of America, NA","4201 Connecticut Avenue, NW",20008,220631
23,"Bank of America, NA","1835 Columbia Road, NW",20009,295012
24,"Bank of America, NA","3131 Mt. Pleasant Street, NW",20010,284590
25,"Bank of America, NA","3500 Georgia Avenue, NW",20010,232241
26,"Bank of America, NA","5911 Blair Road, NW",20011,245610
27,"Bank of America, NA","5201 Wisconsin Avenue, NW",20016,274083
28,"Bank of America, NA","4301 49th Street, NW",20016,266468
29,"Bank of America, NA","915 Rhode Island Avenue, NW",20018,239706
30,"Bank of America, NA","3821 Minnesota Avenue, NE",20019,30095
31,"Bank of America, NA","2100 Martin Luther King Jr., SE",20020,51883
32,"Bank of America, NA","401 M Street, SW",20024,28161
33,"Bank of America, NA","4675 South Capitol Street, SW",20032,276659
34,"Bank of America, NA","3 Dupont Circle, NW",20036,302539
35,"Bank of America, NA","3700 North Capitol Street, NW",20317,291848
36,"Bank of America, NA","2201 C Street, NW",20520,243360
37,Bank of Georgetown,"1001 Wisconsin Avenue, NW",20007,295206
38,Bank of Georgetown,"5236 44th Street, NW",20015,267737
39,Branch Banking and Trust Company,"614 H Street, NW",20001,295092
40,Branch Banking and Trust Company,"317 Pennsylvania Avenue, SE",20003,278338
41,Branch Banking and Trust Company,"601 13th Street, NW",20005,240933
42,Branch Banking and Trust Company,"1909 K Street, NW",20006,243209
43,Branch Banking and Trust Company,"815 Connecticut Avenue, NW",20006,218768
44,Branch Banking and Trust Company,"1365 Wisconsin Avenue, NW",20007,223699
45,Branch Banking and Trust Company,"1316 U Street, NW",20009,279046
46,Branch Banking and Trust Company,"1801 Adams Mill Road, NW",20009,218493
47,Branch Banking and Trust Company,"5200 Wisconsin Avenue, NW",20015,265898
48,Branch Banking and Trust Company,"1730 Rhode Island Avenue, NW",20036,241782
49,Cardinal Bank,"1776 K Street, NW",20006,236718
50,"Chevy Chase Bank, F.S.B.","901 New York Avenue, NW",20001,300397
51,"Chevy Chase Bank, F.S.B.","1100 New Jersey Avenue, SE",20003,285822
52,"Chevy Chase Bank, F.S.B.","336 Pennsylvania Avenue, SE",20003,300706
53,"Chevy Chase Bank, F.S.B.","650 F Street, NW",20004,302652
54,"Chevy Chase Bank, F.S.B.","1200 F Street, NW",20004,300895
55,"Chevy Chase Bank, F.S.B.",701 Pennsylvania Avenue NW,20004,279889
56,"Chevy Chase Bank, F.S.B.",1299 Pennsylvania Avenue NW,20004,285503
57,"Chevy Chase Bank, F.S.B.","925 15th Street, NW",20005,218798
58,"Chevy Chase Bank, F.S.B.",1717 Pennsylvania Avenue NW,20006,279332
59,"Chevy Chase Bank, F.S.B.",1850 K Street NW,20006,300932
60,"Chevy Chase Bank, F.S.B.","1700 K Street, NW",20006,243334
61,"Chevy Chase Bank, F.S.B.",1545 Wisconsin Avenue NW,20007,223930
62,"Chevy Chase Bank, F.S.B.",4455 Connecticut Avenue NW,20008,284922
63,"Chevy Chase Bank, F.S.B.","3519 Connecticut Avenue, NW",20008,295765
64,"Chevy Chase Bank, F.S.B.",5714 Connecticut Avenue NW,20015,285262
65,"Chevy Chase Bank, F.S.B.",4400 Massachusetts Avenue NW,20016,223994
66,"Chevy Chase Bank, F.S.B.",4860 Massachusetts Avenue NW,20016,266470
67,"Chevy Chase Bank, F.S.B.",4000 Wisconsin Avenue NW,20016,222230
68,"Chevy Chase Bank, F.S.B.",210 Michigan Avenue NE,20017,286613
69,"Chevy Chase Bank, F.S.B.",2831 Alabama Avenue SE,20020,278276
70,"Chevy Chase Bank, F.S.B.",1100 17th Street NW,20036,241793
71,"Chevy Chase Bank, F.S.B.",1800 M Street NW,20036,241302
72,"Chevy Chase Bank, F.S.B.","2400 M Street, NW",20037,301450
73,"Chevy Chase Bank, F.S.B.","3800 Reservoir Road, NW",20057,291547
74,"Citibank, NA ",600 Pennsylvania Ave. SE,20003,5839
75,"Citibank, NA ",1000 Vermont Ave. NW,20005,240261
76,"Citibank, NA ",1400 G Street NW,20005,301002
77,"Citibank, NA ",1775 Pennsylvania Ave NW,20006,279383
78,"Citibank, NA ",1901 Wisconsin Ave. NW,20007,279450
79,"Citibank, NA ",1749 1/2 Columbia Rd. NW,20009,302977
80,"Citibank, NA ",5700 Connecticut Ave. NW,20015,274635
81,"Citibank, NA ",5250 Mac Arthur Blvd. NW,20016,285144
82,"Citibank, NA ",5001 Wisconsin Ave. NW,20016,266053
83,"Citibank, NA ",3800 12th Street NE,20017,30632
84,"Citibank, NA ",3917 Minnesota Ave. NE,20019,29135
85,"Citibank, NA ",1225 Connecticut Ave. NW,20036,241767
86,"Citibank, NA ",1000 Connecticut Ave. NW,20036,243406
87,"Citibank, NA ",1101 Pennsylvania Ave. NW,20004,242893
88,"City First Bank of D.C., NA","1432 U Street, NW",20009,279168
89,"Commerce Bank, NA","1753 Connecticut Ave, NW ",20009,300676
90,EagleBank,"1425 K Street, NW",20005,240264
91,EagleBank,2001 K Street NW,20006,242788
92,EagleBank,1228 Connecticut Avenue NW,20036,302357
93,E*Trade Bank,"1850 K Street, NW",20006,300932
94,Fidelity & Trust Bank,1725 Eye Street NW,20006,279349
95,Fidelity & Trust Bank,1044 Wisconsin Avenue NW,20007,278800
96,"HSBC Bank USA, NA","3100 Massachuesetts Avenue, NW",20008,284577
97,"HSBC Bank USA, NA","1130 Connecticut Avenue, NW",20036,241787
98,Independence Federal Savings Bank,1006-E Street NW,20004,298260
